GEOID,County,Alsobrooks,Hogan,Scott,total,alsobrooks_hogan_perc_diff,alsobrooks_perc,hogan_perc,FIPS
24001,Allegany,5822,19761,1915,27498,108.97080092248758,21.172448905374935,71.86340824787257,24001
24003,Anne Arundel,116820,147802,6397,271019,23.4160425059141,43.10398901922006,54.53565986148573,24003
24510,Baltimore City,133916,31778,2756,168450,-123.28509179571982,79.49896111605817,18.864945087563076,24510
24005,Baltimore County,174099,164724,8222,347045,-5.533862813327312,50.16611678600758,47.46473800227636,24005
24009,Calvert,14973,30044,1501,46518,66.95692738298865,32.187540306977944,64.58575175200998,24009
24011,Caroline,3120,10669,699,14488,109.49307418957139,21.535063500828272,73.64025400331309,24011
24013,Carroll,19036,63472,3010,85518,107.71319144810201,22.259641245117987,74.22063191374916,24013
24015,Cecil,8634,29943,2471,41048,110.47515358892603,21.03391151822257,72.94630676281426,24015
24017,Charles,46491,27578,1526,75595,-51.06859819897663,61.50009921291091,36.481248759838614,24017
24019,Dorchester,4106,8610,541,13257,70.83988675684178,30.972316512031377,64.94682054763521,24019
24021,Frederick,51387,73592,3759,128738,35.53396970691076,39.91595333157265,57.164162873432865,24021
24023,Garrett,1698,10736,969,13403,145.3755830786553,12.668805491307916,80.10146982018951,24023
24025,Harford,38185,85174,4685,128044,76.18252417740092,29.82178001312049,66.51932148324013,24025
24027,Howard,81699,63994,2546,148239,-24.304530759885512,55.11302693623136,43.16947631864759,24027
24029,Kent,3434,5725,286,9445,50.027295556283434,36.35786130227633,60.6140815246162,24029
24031,Montgomery,258070,136290,5099,399459,-61.7608276701491,64.60487809762704,34.118645467995464,24031
24033,Prince George's,257868,50892,3366,312126,-134.06917994558881,82.61663558947349,16.304953768670345,24033
24035,Queen Anne's,5800,19938,973,26711,109.86090605330638,21.713900640185692,74.64340533862453,24035
24037,Saint Mary's,14876,33590,2189,50655,77.2252713242273,29.367288520382985,66.31132168591452,24037
24039,Somerset,2317,5053,499,7869,74.24694708276797,29.44465624602872,64.21400432075231,24039
24041,Talbot,7378,12238,533,20149,49.55138662316476,36.61720184624547,60.73750558340364,24041
24043,Washington,19206,44293,3235,66734,79.01541756563095,28.77993226840891,66.37246381155033,24043
24045,Wicomico,13559,23861,1692,39112,55.06146445750936,34.66710983841276,61.006852116997344,24045
24047,Worcester,6772,19331,1091,27194,96.22648737692985,24.90255203353681,71.08553357358241,24047
