county,party_code,day1,perc_day1,day2,perc_day2,day3,perc_day3,day4,perc_day4,day5,perc_day5,day6,perc_day6,day7,perc_day7,day8,perc_day8,total,perc_total,eligible_actives
Allegany,DEM,44,0.40,31,0.28,21,0.19,21,0.19,34,0.31,29,0.26,45,0.41,66,0.60,291,2.66,10944
,LIB,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
,NLM,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
,OTH,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
,REP,108,0.48,81,0.36,42,0.19,61,0.27,108,0.48,102,0.45,93,0.41,131,0.58,726,3.21,22620
,UNA,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
,TOTAL,152,0.45,112,0.33,63,0.19,82,0.24,142,0.42,131,0.39,138,0.41,197,0.59,1017,3.03,33564
Anne Arundel,DEM,635,0.37,726,0.42,429,0.25,414,0.24,796,0.46,865,0.50,964,0.56,1598,0.93,6427,3.73,172447
,LIB,1,0.07,1,0.07,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,2,0.14,1472
,NLM,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,32
,OTH,2,0.08,1,0.04,1,0.04,0,0.00,1,0.04,3,0.12,1,0.04,0,0.00,9,0.36,2496
,REP,563,0.44,669,0.52,358,0.28,308,0.24,745,0.58,702,0.55,793,0.62,1105,0.86,5243,4.07,128755
,UNA,18,0.03,28,0.05,14,0.02,16,0.03,21,0.03,27,0.04,28,0.05,38,0.06,190,0.32,60210
,TOTAL,1219,0.33,1425,0.39,802,0.22,738,0.20,1563,0.43,1597,0.44,1786,0.49,2741,0.75,11871,3.25,365412
Baltimore City,DEM,1668,0.56,1567,0.53,737,0.25,703,0.24,1730,0.58,1691,0.57,2147,0.73,3279,1.11,13522,4.57,295959
,LIB,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
,NLM,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
,OTH,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
,REP,69,0.24,45,0.16,21,0.07,43,0.15,55,0.19,72,0.25,63,0.22,110,0.39,478,1.68,28477
,UNA,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
,TOTAL,1737,0.54,1612,0.50,758,0.23,746,0.23,1785,0.55,1763,0.54,2210,0.68,3389,1.04,14000,4.32,324436
Baltimore County,DEM,1646,0.54,1773,0.58,1024,0.34,1019,0.33,1976,0.65,2174,0.71,2328,0.76,3347,1.10,15287,5.00,305598
,LIB,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
,NLM,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
,OTH,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
,REP,976,0.71,955,0.70,507,0.37,505,0.37,1044,0.76,1115,0.81,1095,0.80,1422,1.04,7619,5.56,137037
County,"PARTY
CODE",NA,Day1,NA,Day2,NA,Day3,NA, Day4,NA,Day5,NA,Day6,NA,Day7,NA,Day8,NA,Total,NA
Baltimore County,UNA,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
,TOTAL,2622,0.59,2728,0.62,1531,0.35,1524,0.34,3020,0.68,3289,0.74,3423,0.77,4769,1.08,22906,5.17,442635
Calvert,DEM,141,0.60,120,0.51,95,0.41,63,0.27,133,0.57,141,0.60,199,0.85,260,1.11,1152,4.92,23431
,LIB,0,0.00,0,0.00,1,0.22,0,0.00,1,0.22,1,0.22,0,0.00,1,0.22,4,0.87,459
,NLM,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,18
,OTH,2,0.27,1,0.14,1,0.14,0,0.00,0,0.00,0,0.00,2,0.27,3,0.41,9,1.23,731
,REP,209,0.75,224,0.80,110,0.39,97,0.35,221,0.79,271,0.97,293,1.05,378,1.35,1803,6.44,27980
,UNA,23,0.14,18,0.11,9,0.06,20,0.12,22,0.14,18,0.11,29,0.18,36,0.22,175,1.08,16159
,TOTAL,375,0.55,363,0.53,216,0.31,180,0.26,377,0.55,431,0.63,523,0.76,678,0.99,3143,4.57,68778
Caroline,DEM,24,0.40,39,0.65,15,0.25,10,0.17,35,0.58,40,0.66,34,0.56,65,1.08,262,4.34,6043
,LIB,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
,NLM,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
,OTH,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
,REP,76,0.71,51,0.48,26,0.24,25,0.23,71,0.67,82,0.77,63,0.59,84,0.79,478,4.49,10647
,UNA,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
,TOTAL,100,0.60,90,0.54,41,0.25,35,0.21,106,0.64,122,0.73,97,0.58,149,0.89,740,4.43,16690
Carroll,DEM,194,0.59,181,0.55,96,0.29,119,0.36,219,0.66,195,0.59,231,0.70,255,0.77,1490,4.50,33146
,LIB,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
,NLM,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
,OTH,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
,REP,433,0.68,415,0.65,213,0.34,227,0.36,480,0.76,556,0.88,502,0.79,668,1.05,3494,5.51,63461
,UNA,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
,TOTAL,627,0.65,596,0.62,309,0.32,346,0.36,699,0.72,751,0.78,733,0.76,923,0.96,4984,5.16,96607
Cecil,DEM,67,0.35,64,0.34,36,0.19,52,0.27,98,0.51,88,0.46,87,0.46,134,0.70,626,3.29,19047
,LIB,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
,NLM,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
,OTH,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
,REP,320,0.93,353,1.03,217,0.63,176,0.51,358,1.04,413,1.20,446,1.30,541,1.57,2824,8.21,34380
,UNA,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
,TOTAL,387,0.72,417,0.78,253,0.47,228,0.43,456,0.85,501,0.94,533,1.00,675,1.26,3450,6.46,53427
Charles,DEM,279,0.37,319,0.43,160,0.21,169,0.23,368,0.49,445,0.60,464,0.62,830,1.11,3034,4.06,74650
,LIB,0,0.00,0,0.00,1,0.23,0,0.00,0,0.00,0,0.00,1,0.23,2,0.46,4,0.91,439
County,"PARTY
CODE",NA,Day1,NA,Day2,NA,Day3,NA, Day4,NA,Day5,NA,Day6,NA,Day7,NA,Day8,NA,Total,NA
Charles,NLM,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,21
,OTH,0,0.00,1,0.08,0,0.00,0,0.00,0,0.00,5,0.41,0,0.00,2,0.17,8,0.66,1207
