category,county_name,district,dem_sent,rep_sent,oth_sent,total_sent,dem_received,rep_received,oth_received,total_received,dem_accepted,rep_accepted,oth_accepted,total_accepted
all,allegany,statewide,2227,2030,0,4257,1641,1553,0,3194,1635,1550,0,3185
all,anne arundel,statewide,39200,16274,7197,62671,27372,11065,2019,40456,27244,11016,1992,40252
all,baltimore city,statewide,48765,2946,0,51711,35750,1627,0,37377,35455,1604,0,37059
all,baltimore county,statewide,63038,18354,0,81392,45181,12553,0,57734,44937,12496,0,57433
all,calvert,statewide,5397,3264,1883,10544,3969,2302,785,7056,3927,2271,777,6975
all,caroline,statewide,840,685,0,1525,578,472,0,1050,576,471,0,1047
all,carroll,statewide,8063,6383,0,14446,5696,4616,0,10312,5665,4600,0,10265
all,cecil,statewide,3317,3429,0,6746,2264,2574,0,4838,2257,2565,0,4822
all,charles,statewide,10565,2412,2004,14981,7459,1686,595,9740,7414,1681,587,9682
all,dorchester,statewide,1523,771,135,2429,1115,603,43,1761,1112,599,41,1752
all,frederick,statewide,17889,7052,5267,30208,12431,4702,1707,18840,12374,4676,1692,18742
all,garrett,statewide,802,1090,0,1892,627,809,0,1436,623,805,0,1428
all,harford,statewide,11478,7424,0,18902,8064,5361,0,13425,8023,5329,0,13352
all,howard,statewide,26412,6327,4941,37680,18096,4252,1755,24103,17961,4232,1736,23929
all,kent,statewide,1277,537,0,1814,976,414,0,1390,975,414,0,1389
all,montgomery,statewide,98022,15129,21019,134170,65758,8984,5795,80537,65257,8905,5721,79883
all,prince georges,statewide,68804,4415,4273,77492,50124,2774,1108,54006,49766,2759,1096,53621
all,queen annes,statewide,2247,1680,0,3927,1602,1177,0,2779,1593,1175,0,2768
all,saint marys,statewide,4548,2953,1483,8984,3288,2099,530,5917,3284,2098,530,5912
all,somerset,statewide,689,477,0,1166,483,329,0,812,481,326,0,807
all,talbot,statewide,2513,1312,130,3955,1933,998,30,2961,1921,994,29,2944
all,washington,statewide,6153,4198,2117,12468,4557,3061,745,8363,4534,3040,727,8301
all,wicomico,statewide,3950,2152,0,6102,2798,1564,0,4362,2784,1558,0,4342
all,worcester,statewide,2897,2105,235,5237,2074,1517,83,3674,2065,1505,82,3652
,total,,430616,113399,50684,594699,303836,77092,15195,396123,301863,76669,15010,393542
,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
category,county name,district,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
civilian overseas,allegany,statewide,15,0,0,15,6,0,0,6,6,0,0,6
civilian overseas,anne arundel,statewide,333,74,44,451,114,33,6,153,113,32,6,151
civilian overseas,baltimore city,statewide,386,53,0,439,141,9,0,150,139,9,0,NA
civilian overseas,baltimore county,statewide,355,63,0,418,118,25,0,143,113,25,0,138
civilian overseas,calvert,statewide,29,5,11,45,11,4,5,20,10,4,5,19
civilian overseas,caroline,statewide,6,0,0,6,0,0,0,0,0,0,0,0
civilian overseas,carroll,statewide,41,14,0,55,14,6,0,20,14,6,0,20
civilian overseas,cecil,statewide,18,7,0,25,3,3,0,6,3,3,0,6
civilian overseas,charles,statewide,29,5,2,36,12,3,0,15,12,3,0,15
civilian overseas,dorchester,statewide,8,3,0,11,6,1,0,7,6,1,0,7
civilian overseas,frederick,statewide,130,29,18,177,55,12,0,67,55,12,0,67
civilian overseas,garrett,statewide,5,2,0,7,2,2,0,4,2,2,0,4
civilian overseas,harford,statewide,66,20,0,86,25,7,0,32,25,6,0,31
civilian overseas,howard,statewide,295,33,21,349,105,17,0,122,104,17,0,121
civilian overseas,kent,statewide,13,0,0,13,8,0,0,8,8,0,0,8
civilian overseas,montgomery,statewide,1988,209,185,2382,702,65,24,791,697,65,23,785
civilian overseas,prince georges,statewide,320,36,17,373,121,16,2,139,120,16,2,138
civilian overseas,queen annes,statewide,30,3,0,33,3,1,0,4,2,1,0,3
civilian overseas,saint marys,statewide,31,11,3,45,12,4,0,16,12,4,0,16
civilian overseas,somerset,statewide,5,0,0,5,0,0,0,0,0,0,0,0
civilian overseas,talbot,statewide,22,6,1,29,11,3,0,14,11,3,0,14
civilian overseas,washington,statewide,33,4,4,41,16,2,0,18,16,2,0,18
civilian overseas,wicomico,statewide,30,8,0,38,13,2,0,15,13,2,0,15
civilian overseas,worcester,statewide,21,2,0,23,9,2,0,11,9,2,0,11
,total,,4209,587,306,5102,1507,217,37,1761,1490,215,36,1741
,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
category,county name,district,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
domestic civilian,allegany,statewide,2209,2030,0,4239,1632,1553,0,3185,1626,1550,0,3176
domestic civilian,anne arundel,statewide,38739,16115,7103,61957,27200,10991,2008,40199,27074,10943,1981,39998
domestic civilian,baltimore city,statewide,48350,2884,0,51234,35596,1616,0,37212,35303,1594,0,36897
domestic civilian,baltimore county,statewide,62643,18269,0,80912,45042,12518,0,57560,44803,12461,0,57264
domestic civilian,calvert,statewide,5346,3241,1860,10447,3946,2289,775,7010,3905,2258,767,6930
domestic civilian,caroline,statewide,834,679,0,1513,578,468,0,1046,576,467,0,1043
domestic civilian,carroll,statewide,8012,6357,0,14369,5677,4604,0,10281,5646,4588,0,10234
domestic civilian,cecil,statewide,3296,3414,0,6710,2259,2566,0,4825,2252,2557,0,4809
domestic civilian,charles,statewide,10502,2388,1983,14873,7437,1670,592,9699,7392,1665,584,9641
domestic civilian,dorchester,statewide,1514,768,135,2417,1108,602,43,1753,1105,598,41,1744
domestic civilian,frederick,statewide,17739,6997,5226,29962,12367,4676,1704,18747,12310,4652,1690,18652
domestic civilian,garrett,statewide,796,1086,0,1882,624,805,0,1429,620,801,0,1421
domestic civilian,harford,statewide,11397,7379,0,18776,8033,5344,0,13377,7992,5313,0,13305
domestic civilian,howard,statewide,26067,6271,4903,37241,17978,4228,1753,23959,17845,4208,1734,23787
domestic civilian,kent,statewide,1263,537,0,1800,968,414,0,1382,967,414,0,1381
